Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1670037918.138,6.8,33.7,0.0,0,0,28
1670037923.142,6.6,33.9,0.0,0,0,28
1670037928.146,6.7,34.3,0.0,0,0,28
1670037933.150,6.6,34.6,0.0,0,0,29
1670037938.154,5.0,34.6,0.0,1,0,30
1670037943.160,7.1,34.9,0.0,93,51,36
1670037948.164,6.9,34.9,0.0,93,53,40
1670037953.168,6.7,34.9,0.0,93,52,42
1670037958.178,6.8,34.9,0.0,91,50,45
1670037963.195,6.7,34.9,0.0,93,53,47
1670037968.187,6.7,34.9,0.0,93,52,49
1670037973.203,7.0,34.9,0.0,91,50,50
1670037978.198,6.8,34.9,0.0,90,51,52
1670037983.202,6.7,34.9,0.0,93,52,53
1670037988.209,7.0,34.9,0.0,87,48,54
1670037993.219,6.7,34.9,0.0,91,51,55
1670037998.223,6.7,34.9,0.0,93,52,57
1670038003.229,7.0,34.9,0.0,92,51,58
1670038008.233,6.8,34.9,0.0,93,52,59
1670038013.241,6.7,34.9,0.0,93,52,60
1670038018.245,6.8,34.9,0.0,93,52,61
1670038023.249,6.7,34.9,0.0,93,52,61
1670038028.253,6.8,34.9,0.0,93,52,63
1670038033.258,7.0,34.9,0.0,93,52,63
1670038038.262,6.8,34.9,0.0,87,49,64
1670038043.265,6.7,34.9,0.0,92,52,65
1670038048.275,6.8,34.9,0.0,93,52,66
1670038053.278,6.8,34.9,0.0,91,50,66
1670038058.281,6.7,34.9,0.0,93,52,66
1670038063.285,6.9,34.9,0.0,93,51,67
1670038068.289,6.9,34.9,0.0,89,50,67
1670038073.293,6.7,34.9,0.0,93,51,68
1670038078.299,7.0,34.9,0.0,89,49,68
1670038083.303,6.9,34.9,0.0,91,50,69
1670038088.307,6.7,34.9,0.0,93,52,69
1670038093.312,7.0,34.9,0.0,92,51,70
1670038098.317,6.8,34.9,0.0,93,52,70
1670038103.321,6.7,34.9,0.0,93,52,71
1670038108.330,6.9,34.9,0.0,93,52,71
1670038113.339,6.7,34.9,0.0,93,52,71
1670038118.345,6.7,34.9,0.0,93,51,71
1670038123.356,6.9,34.9,0.0,93,52,72
1670038128.362,6.8,34.9,0.0,93,52,72
1670038133.368,6.7,34.9,0.0,93,51,72
1670038138.372,6.8,34.9,0.0,93,52,73
1670038143.378,6.7,34.9,0.0,93,51,73
1670038148.383,6.7,34.9,0.0,93,51,73
1670038153.387,6.9,34.9,0.0,92,51,73
1670038158.391,6.9,34.9,0.0,93,51,74
1670038163.395,7.1,34.9,0.0,93,52,74
1670038168.399,7.7,34.9,0.0,93,51,74
1670038173.404,8.2,35.0,0.0,90,50,74
1670038178.408,9.9,35.1,0.0,92,51,74
1670038183.412,10.5,35.1,0.0,93,52,75
1670038188.416,8.4,35.2,0.0,93,52,75
1670038193.421,7.4,35.1,0.0,93,51,75
1670038198.431,6.9,35.1,0.0,93,52,75
1670038203.435,7.5,35.1,0.0,93,51,75
1670038208.439,7.3,35.1,0.0,87,49,75
1670038213.442,7.2,35.1,0.0,91,50,75
1670038218.446,7.0,35.1,0.0,93,51,75
1670038223.450,6.7,35.1,0.0,93,52,75
1670038228.454,6.8,35.1,0.0,93,50,75
1670038233.458,6.7,35.1,0.0,92,52,75
1670038238.462,6.7,35.1,0.0,90,49,76
1670038243.471,7.4,35.1,0.0,93,51,75
1670038248.475,7.0,35.1,0.0,93,52,75
1670038253.479,7.0,35.1,0.0,93,51,75
1670038258.483,6.9,35.1,0.0,93,51,74
1670038263.487,6.7,35.1,0.0,92,51,74
1670038268.494,8.0,35.1,0.0,92,51,73
1670038273.498,7.4,35.1,0.0,93,52,74
1670038278.502,7.2,35.1,0.0,93,51,74
1670038283.506,7.8,35.1,0.0,93,52,73
1670038288.518,6.9,35.1,0.0,94,52,74
1670038293.514,7.5,35.1,0.0,93,52,74
1670038298.518,7.2,35.1,0.0,92,52,74
1670038303.533,7.2,35.2,0.0,89,50,73
1670038308.526,6.8,35.2,0.0,89,48,73
1670038313.530,6.7,35.2,0.0,93,51,73
1670038318.534,6.8,35.2,0.0,90,50,74
1670038323.538,6.8,35.2,0.0,92,50,74
1670038328.542,6.8,35.2,0.0,93,51,73
1670038333.549,7.0,35.2,0.0,90,50,74
1670038338.554,6.8,35.2,0.0,92,51,73
1670038343.565,6.8,35.2,0.0,92,51,74
1670038348.569,6.8,35.2,0.0,93,52,74
1670038353.573,6.7,35.2,0.0,92,51,74
1670038358.577,6.8,35.2,0.0,93,51,73
1670038363.580,6.9,35.2,0.0,93,52,74
1670038368.589,6.8,35.2,0.0,92,51,74
1670038373.595,6.8,35.2,0.0,93,51,73
1670038378.599,6.8,35.2,0.0,93,52,74
1670038383.608,6.8,35.2,0.0,93,51,74
1670038388.612,6.7,35.2,0.0,92,51,74
1670038393.616,7.1,35.2,0.0,93,52,74
1670038398.619,7.7,35.2,0.0,92,51,74
1670038403.625,7.6,35.3,0.0,92,51,74
1670038408.629,6.9,35.3,0.0,88,49,74
1670038413.633,6.7,35.3,0.0,91,50,74
1670038418.637,7.0,35.3,0.0,92,51,74
1670038423.641,7.0,35.3,0.0,93,52,74
1670038428.645,6.8,35.3,0.0,93,50,74
1670038433.652,6.7,35.3,0.0,93,51,74
1670038438.660,6.9,35.3,0.0,93,52,74
1670038443.664,6.7,35.3,0.0,93,51,73
1670038448.668,6.8,35.3,0.0,93,51,73
1670038453.672,7.0,35.3,0.0,91,51,74
1670038458.683,6.8,35.3,0.0,86,47,74
1670038463.687,6.8,35.3,0.0,89,49,74
1670038468.693,6.8,35.3,0.0,93,51,74
1670038473.697,6.5,35.3,0.0,92,51,74
1670038478.704,6.5,35.3,0.0,92,51,74
1670038483.707,6.8,35.3,0.0,93,52,74
1670038488.717,6.6,35.3,0.0,93,52,73
1670038493.721,6.5,35.3,0.0,87,48,73
1670038498.725,8.4,35.2,0.0,93,52,74
1670038503.729,7.1,35.2,0.0,92,51,74
1670038508.738,7.0,35.1,0.0,2,1,70
1670038513.742,7.4,35.1,0.0,92,49,73
1670038518.746,7.2,35.1,0.0,82,43,73
1670038523.750,6.9,35.1,0.0,84,47,70
1670038528.754,7.2,35.1,0.0,92,51,72
1670038533.759,7.1,35.1,0.0,94,53,72
1670038538.763,7.1,35.1,0.0,93,51,74
1670038543.769,7.7,35.1,0.0,94,52,74
1670038548.773,7.2,35.1,0.0,93,50,75
1670038553.777,7.1,35.1,0.0,90,50,75
1670038558.781,7.2,35.1,0.0,91,50,75
