Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1670097829.955,8.2,9.5,0.0,0,0,26
1670097834.959,9.0,9.7,0.0,0,0,26
1670097839.963,8.9,10.2,0.0,0,0,26
1670097844.967,8.6,10.4,0.0,0,0,27
1670097849.971,7.9,10.7,0.0,3,0,28
1670097854.975,8.8,10.7,0.0,95,53,36
1670097859.979,8.9,10.7,0.0,95,53,39
1670097864.983,9.0,10.7,0.0,92,52,41
1670097869.987,9.0,10.7,0.0,95,54,43
1670097874.991,9.2,10.7,0.0,94,54,45
1670097879.998,9.3,10.7,0.0,94,52,46
1670097885.002,8.8,10.7,0.0,95,53,48
1670097890.006,8.8,10.7,0.0,95,53,49
1670097895.010,9.0,10.7,0.0,95,53,51
1670097900.021,8.9,10.7,0.0,95,53,52
1670097905.030,8.9,10.7,0.0,95,53,53
1670097910.038,9.0,10.7,0.0,92,52,54
1670097915.043,8.9,10.7,0.0,95,54,54
1670097920.047,9.0,10.7,0.0,94,52,55
1670097925.051,8.9,10.7,0.0,88,48,56
1670097930.055,8.9,10.7,0.0,90,50,57
1670097935.059,8.9,10.7,0.0,94,52,57
1670097940.063,9.0,10.7,0.0,95,52,58
1670097945.074,8.9,10.7,0.0,93,52,58
1670097950.078,8.9,10.7,0.0,95,53,59
1670097955.083,9.0,10.7,0.0,95,53,59
1670097960.087,9.1,10.7,0.0,93,52,60
1670097965.091,9.2,10.7,0.0,93,52,60
1670097970.098,9.4,10.7,0.0,95,53,61
1670097975.102,8.9,10.7,0.0,94,53,62
1670097980.106,8.9,10.7,0.0,89,49,62
1670097985.110,9.0,10.7,0.0,89,50,62
1670097990.114,8.9,10.7,0.0,90,50,63
1670097995.118,9.0,10.7,0.0,94,53,63
1670098000.122,9.0,10.7,0.0,95,53,64
1670098005.126,9.0,10.7,0.0,94,53,63
1670098010.131,9.0,10.7,0.0,95,53,64
1670098015.137,8.9,10.7,0.0,95,53,64
1670098020.140,9.0,10.7,0.0,92,52,64
1670098025.144,9.0,10.7,0.0,93,53,64
1670098030.147,8.9,10.7,0.0,95,53,64
1670098035.150,8.9,10.7,0.0,93,53,65
1670098040.162,8.9,10.7,0.0,95,53,65
1670098045.171,9.0,10.7,0.0,92,51,65
1670098050.174,9.2,10.7,0.0,93,51,65
1670098055.180,9.0,10.7,0.0,94,52,65
1670098060.189,8.9,10.7,0.0,95,53,66
1670098065.199,8.8,10.7,0.0,95,53,66
1670098070.203,9.0,10.7,0.0,95,53,66
1670098075.208,8.9,10.7,0.0,95,53,66
1670098080.212,9.0,10.7,0.0,93,52,66
1670098085.226,8.9,10.7,0.0,91,51,66
1670098090.232,9.1,10.7,0.0,94,54,66
1670098095.236,8.8,10.7,0.0,92,51,66
1670098100.240,8.9,10.7,0.0,95,54,66
1670098105.244,8.9,10.7,0.0,94,53,66
1670098110.248,9.0,10.7,0.0,95,53,67
1670098115.252,9.0,10.7,0.0,93,51,67
1670098120.256,9.0,10.7,0.0,93,51,67
1670098125.260,8.8,10.7,0.0,94,52,67
1670098130.264,9.2,10.7,0.0,94,52,67
1670098135.268,9.1,10.7,0.0,94,53,67
1670098140.274,9.0,10.7,0.0,94,53,67
1670098145.280,9.0,10.7,0.0,94,52,67
1670098150.285,9.0,10.7,0.0,95,52,66
1670098155.293,8.9,10.7,0.0,90,50,67
1670098160.302,8.9,10.7,0.0,94,53,67
1670098165.307,8.9,10.7,0.0,95,53,67
1670098170.314,9.0,10.7,0.0,94,53,67
1670098175.319,9.1,10.7,0.0,91,52,67
1670098180.323,8.9,10.7,0.0,92,52,67
1670098185.326,8.9,10.7,0.0,95,53,67
1670098190.330,8.9,10.7,0.0,93,52,67
1670098195.334,8.9,10.7,0.0,92,52,67
1670098200.338,9.0,10.7,0.0,95,53,67
1670098205.342,9.0,10.7,0.0,92,51,67
1670098210.357,9.0,10.7,0.0,94,53,67
1670098215.361,9.1,10.7,0.0,93,52,67
1670098220.365,9.1,10.7,0.0,91,50,67
1670098225.374,8.9,10.7,0.0,89,49,67
1670098230.384,9.0,10.7,0.0,92,50,67
1670098235.391,9.0,10.7,0.0,94,52,67
1670098240.395,8.9,10.7,0.0,94,52,67
1670098245.399,8.9,10.7,0.0,93,51,67
1670098250.403,9.0,10.7,0.0,94,52,67
1670098255.407,8.9,10.7,0.0,94,52,67
1670098260.411,9.1,10.7,0.0,95,53,67
1670098265.421,8.9,10.7,0.0,95,53,67
1670098270.425,9.3,10.7,0.0,94,53,68
1670098275.429,8.9,10.7,0.0,95,53,68
1670098280.433,9.0,10.7,0.0,94,52,68
1670098285.437,8.9,10.7,0.0,95,52,67
1670098290.446,8.9,10.7,0.0,94,53,68
1670098295.458,9.0,10.7,0.0,94,53,68
1670098300.462,9.3,10.7,0.0,95,53,68
1670098305.472,8.9,10.7,0.0,94,52,68
1670098310.476,8.9,10.7,0.0,94,53,68
1670098315.480,8.8,10.7,0.0,94,53,69
1670098320.484,9.0,10.7,0.0,95,52,69
1670098325.491,9.0,10.7,0.0,94,53,68
1670098330.495,9.0,10.7,0.0,95,53,68
1670098335.508,8.9,10.7,0.0,94,52,68
1670098340.519,9.0,10.7,0.0,94,53,68
1670098345.527,9.0,10.7,0.0,94,52,68
1670098350.534,8.9,10.7,0.0,95,53,68
1670098355.538,9.0,10.7,0.0,94,53,68
1670098360.542,9.0,10.7,0.0,94,53,68
1670098365.546,8.9,10.7,0.0,95,52,69
1670098370.550,8.9,10.7,0.0,93,52,68
1670098375.554,8.9,10.7,0.0,94,53,68
1670098380.558,8.9,10.7,0.0,95,52,68
1670098385.567,9.4,10.7,0.0,95,52,68
1670098390.571,8.9,10.7,0.0,95,52,68
1670098395.575,8.9,10.7,0.0,94,52,68
1670098400.579,8.9,10.7,0.0,94,52,69
1670098405.583,8.9,10.7,0.0,89,48,67
1670098410.587,8.9,10.7,0.0,92,49,68
1670098415.590,9.0,10.7,0.0,86,45,66
1670098420.595,9.0,10.7,0.0,95,52,66
1670098425.600,8.9,10.7,0.0,95,53,67
1670098430.604,9.1,10.7,0.0,94,53,67
1670098435.609,9.0,10.7,0.0,95,53,67
1670098440.620,8.8,10.7,0.0,93,52,67
1670098445.626,8.9,10.7,0.0,94,53,67
1670098450.630,9.0,10.7,0.0,95,53,68
1670098455.640,8.9,10.7,0.0,95,53,68
1670098460.648,8.9,10.7,0.0,94,52,68
1670098465.658,9.0,10.7,0.0,92,50,68
1670098470.665,9.2,10.7,0.0,93,50,68
1670098475.670,9.1,10.7,0.0,95,52,68
1670098480.674,9.0,10.7,0.0,95,53,68
1670098485.678,8.9,10.7,0.0,95,53,68
1670098490.682,8.9,10.7,0.0,95,53,68
1670098495.686,9.0,10.7,0.0,95,53,69
1670098500.690,8.9,10.7,0.0,95,53,69
1670098505.694,8.9,10.7,0.0,92,52,69
1670098510.698,9.0,10.7,0.0,94,53,68
1670098515.707,8.9,10.7,0.0,95,53,68
1670098520.711,8.9,10.7,0.0,94,53,68
1670098525.722,9.0,10.7,0.0,92,50,68
1670098530.725,8.9,10.7,0.0,91,51,69
1670098535.729,9.0,10.7,0.0,92,50,68
1670098540.736,9.0,10.7,0.0,93,51,68
1670098545.739,8.8,10.7,0.0,95,52,68
1670098550.745,9.0,10.7,0.0,94,52,69
1670098555.749,9.3,10.7,0.0,94,53,68
1670098560.753,8.9,10.7,0.0,95,52,68
1670098565.757,9.0,10.7,0.0,95,53,68
1670098570.761,9.4,10.7,0.0,95,52,68
1670098575.765,8.9,10.7,0.0,95,53,69
1670098580.769,8.9,10.7,0.0,95,53,68
1670098585.782,9.0,10.7,0.0,94,53,69
1670098590.795,8.9,10.7,0.0,92,52,69
1670098595.799,9.0,10.7,0.0,92,52,69
1670098600.803,9.1,10.7,0.0,95,53,68
1670098605.811,8.9,10.7,0.0,95,54,68
1670098610.814,9.0,10.7,0.0,95,53,68
1670098615.820,9.0,10.7,0.0,93,52,69
1670098620.828,8.9,10.7,0.0,95,54,68
1670098625.832,9.0,10.7,0.0,93,51,69
1670098630.837,8.9,10.7,0.0,93,51,69
1670098635.841,8.9,10.7,0.0,95,52,68
1670098640.845,9.3,10.7,0.0,94,52,69
1670098645.849,9.1,10.7,0.0,94,52,69
1670098650.853,8.9,10.7,0.0,95,53,68
1670098655.857,9.0,10.7,0.0,94,52,69
1670098660.870,8.9,10.7,0.0,94,53,69
1670098665.874,8.9,10.7,0.0,95,53,69
1670098670.878,9.0,10.7,0.0,95,53,68
1670098675.888,9.0,10.7,0.0,94,52,69
1670098680.897,8.9,10.7,0.0,95,53,68
1670098685.902,9.1,10.7,0.0,94,53,69
1670098690.909,9.0,10.7,0.0,88,49,68
1670098695.913,8.8,10.7,0.0,95,53,69
1670098700.917,9.0,10.7,0.0,94,53,69
1670098705.921,9.0,10.7,0.0,94,52,69
1670098710.934,8.8,10.7,0.0,92,52,68
1670098715.949,9.0,10.7,0.0,92,52,69
1670098720.953,9.0,10.7,0.0,92,52,68
1670098725.957,9.2,10.7,0.0,93,52,68
1670098730.963,8.9,10.7,0.0,94,53,68
1670098735.975,9.0,10.7,0.0,94,53,68
1670098740.978,8.9,10.7,0.0,94,53,68
1670098745.982,8.9,10.7,0.0,95,53,68
1670098750.989,9.0,10.7,0.0,95,53,68
1670098755.993,8.8,10.7,0.0,94,53,68
1670098760.997,9.0,10.7,0.0,94,52,68
1670098766.001,9.0,10.7,0.0,92,50,68
1670098771.005,8.9,10.7,0.0,93,51,68
1670098776.017,9.1,10.7,0.0,94,52,68
1670098781.021,9.0,10.7,0.0,91,50,68
1670098786.034,8.9,10.7,0.0,93,51,67
1670098791.046,9.0,10.7,0.0,93,51,67
1670098796.053,9.0,10.7,0.0,94,52,68
1670098801.063,8.9,10.7,0.0,94,52,68
1670098806.067,9.0,10.7,0.0,94,52,67
1670098811.071,9.3,10.7,0.0,94,53,67
1670098816.075,8.9,10.7,0.0,94,53,68
1670098821.079,8.9,10.7,0.0,89,50,68
1670098826.083,9.0,10.7,0.0,95,52,67
1670098831.090,8.9,10.7,0.0,95,53,68
1670098836.105,9.0,10.7,0.0,95,53,68
