Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1670257244.730,7.7,6.5,0.0,0,0,37,0,0,35
1670257249.734,6.4,6.7,0.0,0,0,36,0,0,34
1670257254.738,6.7,7.2,0.0,0,0,36,0,0,34
1670257259.742,6.7,7.4,0.0,0,0,36,0,0,34
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1670257261.304,8.7,7.4,0.0,0,0,36,0,0,34
1670257264.745,6.8,7.3,0.0,0,0,36,0,0,34
1670257266.308,6.2,7.0,0.0,0,0,36,0,0,34
1670257269.749,5.1,7.3,0.0,0,0,35,0,0,34
1670257271.308,4.8,7.4,0.0,0,0,35,0,0,34
1670257274.750,4.7,7.6,0.0,0,0,35,0,0,34
1670257276.312,4.4,7.6,0.0,0,0,36,5,1,34
1670257279.757,4.7,7.9,0.0,3,0,36,2,0,34
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1670257541.016,5.5,5.8,0.0,0,0,39,0,0,32
1670257546.020,4.5,6.0,0.0,0,0,38,0,0,32
1670257551.024,4.6,6.4,0.0,0,0,38,0,0,32
1670257556.028,4.7,6.7,0.0,0,0,38,0,0,32
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1670257556.598,6.2,6.7,0.0,0,0,38,0,0,32
1670257561.032,4.6,6.9,0.0,0,0,38,0,0,32
1670257561.601,4.7,6.9,0.0,0,0,38,0,0,32
1670257566.036,4.7,7.4,0.0,0,0,38,0,0,32
1670257566.601,4.7,7.4,0.0,0,0,37,0,0,32
1670257571.040,4.4,7.6,0.0,1,0,38,5,1,32
1670257571.605,4.2,7.6,0.0,0,0,38,1,0,32
1670257576.044,5.4,8.2,0.0,0,0,38,3,0,33
1670257576.609,5.7,8.3,0.0,28,10,40,0,0,34
1670257581.048,6.4,8.3,0.0,99,24,43,95,27,36
1670257581.615,6.4,8.3,0.0,98,21,41,93,22,35
1670257586.056,6.5,8.3,0.0,64,10,41,99,27,36
1670257586.621,6.5,8.3,0.0,31,8,43,73,18,36
1670257591.059,6.6,8.3,0.0,94,26,44,80,20,39
1670257591.626,6.7,8.3,0.0,100,25,43,95,23,38
1670257596.063,6.7,8.3,0.0,13,1,45,4,2,39
1670257596.630,6.6,8.3,0.0,97,27,45,29,11,40
1670257601.067,6.6,8.3,0.0,81,21,45,70,18,40
1670257601.648,6.6,8.3,0.0,31,7,46,37,13,40
1670257606.071,6.6,8.3,0.0,93,23,45,93,25,40
1670257606.652,6.6,8.3,0.0,21,2,46,64,19,41
1670257611.075,6.5,8.3,0.0,63,10,46,6,1,41
1670257611.657,6.5,8.3,0.0,71,18,47,27,11,42
1670257616.079,6.5,8.3,0.0,40,14,48,81,20,42
1670257616.661,6.6,8.3,0.0,96,27,46,95,23,41
1670257621.083,6.6,8.3,0.0,96,23,47,79,23,42
1670257621.666,6.7,8.3,0.0,9,1,47,50,14,41
1670257626.088,6.7,8.3,0.0,31,7,48,27,11,43
1670257626.671,6.6,8.3,0.0,95,24,49,64,17,44
1670257631.092,6.5,8.3,0.0,95,25,48,99,27,43
1670257631.676,6.5,8.3,0.0,100,26,48,64,19,43
1670257636.096,6.6,8.3,0.0,44,12,48,85,23,43
1670257636.681,6.6,8.3,0.0,58,17,49,7,3,44
1670257641.101,6.5,8.3,0.0,63,17,49,100,27,44
1670257641.686,6.5,8.3,0.0,5,2,49,63,17,45
1670257646.105,6.5,8.3,0.0,89,25,49,99,25,45
1670257646.696,6.5,8.3,0.0,59,14,49,0,0,44
1670257651.108,6.7,8.3,0.0,1,0,50,37,9,45
1670257651.697,6.7,8.3,0.0,36,13,51,6,1,46
1670257656.113,6.6,8.3,0.0,55,16,51,53,17,47
1670257656.701,6.7,8.3,0.0,90,23,51,80,21,47
1670257661.128,6.8,8.3,0.0,99,25,52,73,22,46
1670257661.706,6.7,8.3,0.0,93,26,50,63,11,46
1670257666.121,6.7,8.3,0.0,95,24,52,96,23,47
1670257666.712,6.7,8.3,0.0,14,2,50,7,1,46
1670257671.124,6.5,8.3,0.0,25,6,51,56,11,46
1670257671.726,6.5,8.3,0.0,8,4,52,31,8,47
1670257676.128,6.5,8.3,0.0,46,13,52,22,10,48
1670257676.730,6.5,8.3,0.0,81,21,53,41,13,49
1670257681.132,6.7,8.3,0.0,25,10,53,95,28,49
1670257681.740,6.7,8.3,0.0,99,28,52,99,29,47
1670257686.137,6.6,8.3,0.0,95,24,53,92,26,48
1670257686.751,6.6,8.3,0.0,18,3,52,58,14,49
1670257691.143,6.5,8.3,0.0,56,16,54,4,2,49
1670257691.755,6.6,8.3,0.0,77,19,54,38,13,50
1670257696.147,6.7,8.3,0.0,39,13,53,5,2,49
1670257696.764,6.6,8.3,0.0,78,23,53,100,28,49
1670257701.151,6.6,8.3,0.0,99,25,53,95,26,49
1670257701.771,6.5,8.3,0.0,15,7,54,31,8,50
1670257706.155,6.5,8.3,0.0,84,25,53,100,27,49
1670257706.777,6.5,8.3,0.0,49,12,53,89,25,49
1670257711.158,6.6,8.3,0.0,76,22,54,98,27,49
1670257711.782,6.7,8.3,0.0,48,14,54,19,8,50
1670257716.161,6.6,8.3,0.0,21,9,55,27,7,50
1670257716.786,6.6,8.3,0.0,99,26,54,60,17,50
1670257721.165,6.5,8.3,0.0,84,25,55,41,13,51
1670257721.790,6.6,8.3,0.0,95,26,54,85,25,50
1670257726.169,6.6,8.3,0.0,42,14,56,47,14,52
1670257726.795,6.6,8.3,0.0,81,24,54,68,20,50
1670257731.177,6.5,8.3,0.0,100,28,55,99,28,50
1670257731.800,6.5,8.3,0.0,94,27,56,90,21,52
1670257736.184,6.5,8.3,0.0,30,2,55,38,10,50
1670257736.804,6.5,8.3,0.0,95,24,56,91,24,52
1670257741.189,6.7,8.3,0.0,94,27,57,64,17,52
1670257741.812,6.6,8.3,0.0,100,26,55,60,17,51
1670257746.202,6.6,8.3,0.0,57,16,55,85,25,51
1670257746.817,6.6,8.3,0.0,26,2,57,37,13,52
1670257751.213,6.5,8.3,0.0,64,17,57,11,5,52
1670257751.821,6.5,8.3,0.0,97,21,56,99,25,52
1670257756.217,6.7,8.3,0.0,27,11,57,93,25,53
1670257756.826,6.6,8.3,0.0,97,27,56,99,25,51
1670257761.225,6.5,8.3,0.0,98,25,56,66,19,52
1670257761.831,6.5,8.3,0.0,8,1,57,37,5,53
1670257766.228,6.5,8.3,0.0,46,5,57,74,22,53
1670257766.835,6.5,8.3,0.0,90,24,58,61,16,54
1670257771.238,6.7,8.3,0.0,69,21,58,26,10,54
1670257771.841,6.7,8.3,0.0,67,20,56,97,27,52
1670257776.242,6.6,8.3,0.0,99,26,57,99,24,52
1670257776.846,6.6,8.3,0.0,24,10,58,5,1,53
1670257781.246,6.5,8.3,0.0,4,1,58,34,8,53
1670257781.850,6.6,8.3,0.0,100,28,58,86,22,54
1670257786.250,6.6,8.3,0.0,88,23,58,57,16,54
1670257786.855,6.6,8.3,0.0,33,8,57,61,18,53
1670257791.254,6.5,8.3,0.0,77,22,57,78,23,53
1670257791.860,6.5,8.3,0.0,47,10,58,45,13,54
1670257796.263,6.5,8.3,0.0,19,8,59,45,12,54
1670257796.864,6.5,8.3,0.0,53,15,59,90,24,55
1670257801.267,6.7,8.3,0.0,52,16,59,52,15,55
1670257801.869,6.7,8.3,0.0,75,22,58,70,20,53
1670257806.270,6.6,8.3,0.0,65,19,58,96,27,53
1670257806.874,6.6,8.3,0.0,36,6,59,28,11,54
1670257811.275,6.5,8.3,0.0,22,10,59,12,2,55
1670257811.878,6.6,8.3,0.0,100,24,58,93,22,54
1670257816.279,6.6,8.3,0.0,89,24,59,55,16,54
1670257816.881,6.6,8.3,0.0,98,25,58,67,20,54
1670257821.285,6.5,8.3,0.0,53,14,58,86,25,54
1670257821.885,6.5,8.3,0.0,22,2,59,55,16,55
1670257826.290,6.5,8.3,0.0,32,8,59,32,12,55
1670257826.889,6.5,8.3,0.0,95,24,59,70,18,55
1670257831.294,6.7,8.3,0.0,84,22,59,99,28,55
1670257831.895,6.7,8.3,0.0,37,10,59,70,19,54
1670257836.301,6.6,8.3,0.0,56,15,60,14,6,56
1670257836.900,6.6,8.3,0.0,75,19,60,42,13,56
1670257841.306,6.5,8.3,0.0,68,18,61,35,12,56
1670257841.903,6.6,8.3,0.0,53,15,59,85,25,54
1670257846.311,6.6,8.3,0.0,98,26,60,83,21,56
1670257846.907,6.6,8.3,0.0,53,15,60,25,10,55
1670257851.321,6.5,8.3,0.0,44,14,60,14,6,55
1670257851.911,6.5,8.3,0.0,83,24,59,99,27,55
1670257856.331,6.5,8.3,0.0,99,28,59,99,26,55
1670257856.917,6.5,8.3,0.0,80,20,60,14,6,56
1670257861.335,6.7,8.3,0.0,91,23,61,27,11,56
1670257861.921,6.7,8.3,0.0,37,13,61,69,18,56
1670257866.339,6.7,8.3,0.0,93,22,61,51,16,57
