Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
0,1670978775.638,9.1,9.9,0.0,0,0,27
2,1670979101.896,16.9,12.3,0.0,0,0,27
3,1670979131.926,16.4,13.0,0.0,97,68,45
4,1670979161.955,16.5,13.1,0.0,95,66,53
5,1670979191.984,16.3,13.0,0.0,96,64,59
6,1670979222.013,16.2,13.0,0.0,95,64,62
7,1670979252.042,16.5,13.0,0.0,95,63,65
8,1670979282.077,16.5,13.0,0.0,98,62,67
9,1670979312.107,16.3,13.1,0.0,97,61,68
10,1670979342.136,16.2,13.0,0.0,95,65,69
11,1670979372.166,15.8,13.1,0.0,95,65,68
12,1670979402.195,14.6,13.0,0.0,98,69,68
13,1670979432.224,14.6,13.0,0.0,97,68,68
14,1670979462.253,16.4,13.0,0.0,96,59,69
15,1670979492.282,13.9,13.1,0.0,96,65,69
16,1670979522.311,16.6,13.1,0.0,98,69,69
17,1670979552.342,16.3,13.6,0.0,0,0,61
18,1670979582.373,16.6,12.9,0.0,96,66,68
19,1670979612.406,16.5,12.9,0.0,96,65,68
20,1670979642.434,16.1,12.9,0.0,98,62,69
21,1670979672.469,16.5,13.0,0.0,96,65,69
22,1670979702.498,16.5,13.0,0.0,98,68,69
23,1670979732.527,16.4,13.0,0.0,98,64,69
24,1670979762.556,16.6,13.0,0.0,96,67,69
25,1670979792.587,16.3,13.0,0.0,97,65,69
26,1670979822.615,16.3,13.0,0.0,96,65,69
27,1670979852.644,16.6,13.0,0.0,96,66,69
28,1670979882.673,16.6,13.0,0.0,96,65,69
29,1670979912.702,16.3,12.9,0.0,97,69,69
30,1670979942.733,16.5,13.0,0.0,97,60,70
31,1670979972.762,16.5,13.0,0.0,96,66,69
32,1670980002.802,16.5,13.0,0.0,96,66,67
33,1670980032.82,16.3,13.0,0.0,95,65,68
34,1670980062.849,16.5,13.0,0.0,96,66,69
35,1670980092.878,16.5,13.0,0.0,96,62,70
36,1670980122.907,16.5,13.0,0.0,91,60,71
37,1670980152.936,16.5,13.0,0.0,96,65,71
38,1670980182.966,16.6,13.0,0.0,95,62,71
39,1670980212.995,16.3,13.0,0.0,96,66,71
40,1670980243.024,16.6,13.0,0.0,98,61,71
41,1670980273.053,16.5,13.0,0.0,98,68,71
42,1670980303.085,16.4,13.1,0.0,94,64,71
43,1670980333.114,16.7,13.0,0.0,96,63,71
44,1670980363.143,16.5,13.0,0.0,94,64,72
45,1670980393.177,16.4,13.0,0.0,98,63,71
46,1670980423.206,16.7,13.0,0.0,96,66,71
47,1670980453.235,16.7,13.0,0.0,98,68,69
48,1670980483.264,16.4,13.0,0.0,98,61,70
49,1670980513.3,16.7,13.0,0.0,98,69,71
50,1670980543.328,16.5,13.0,0.0,98,60,71
51,1670980573.358,16.5,13.0,0.0,97,66,71
52,1670980603.392,16.4,13.0,0.0,98,62,71
53,1670980633.421,16.4,13.0,0.0,97,68,71
54,1670980663.45,16.5,13.0,0.0,91,62,71
55,1670980693.478,16.5,13.0,0.0,97,68,71
56,1670980723.513,16.6,13.0,0.0,96,60,71
57,1670980753.549,16.6,13.1,0.0,98,68,71
58,1670980783.577,16.5,13.1,0.0,98,62,71
59,1670980813.606,16.6,13.1,0.0,96,65,71
60,1670980843.641,16.5,13.0,0.0,97,61,71
61,1670980873.67,16.4,13.0,0.0,95,65,71
62,1670980903.699,16.7,13.0,0.0,96,63,71
63,1670980933.728,16.6,13.0,0.0,96,65,71
