Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671133579.612,31.5,8.4,0.0,0,0,25,0,0,26
1671133609.613,30.6,9.1,0.0,98,69,38,0,0,26
1671133639.642,31.1,9.1,0.0,91,64,49,0,0,26
1671133669.680,34.4,11.8,0.0,92,65,56,0,0,25
1671133699.707,74.3,12.1,0.0,88,60,61,0,0,26
1671133729.731,77.7,12.1,0.0,88,60,65,0,0,26
1671133759.760,77.6,12.1,0.0,91,57,68,0,0,26
1671133789.789,78.2,12.1,0.0,92,65,70,0,0,26
1671133819.817,77.9,12.1,0.0,91,57,72,0,0,26
1671133849.847,76.9,11.9,0.0,91,59,72,0,0,26
1671133879.876,77.5,11.9,0.0,94,66,74,0,0,26
1671133909.893,77.6,11.9,0.0,90,56,75,0,0,26
1671133939.893,77.5,11.9,0.0,92,65,75,0,0,26
1671133969.922,77.4,11.9,0.0,91,59,75,0,0,26
1671133999.950,77.6,12.0,0.0,90,63,75,0,0,26
1671134029.979,78.0,12.0,0.0,91,60,75,0,0,26
1671134059.980,77.3,12.0,0.0,89,62,75,0,0,26
1671134090.009,77.9,12.0,0.0,96,68,73,0,0,26
1671134120.040,78.1,12.0,0.0,88,59,76,0,0,26
1671134150.068,77.4,12.0,0.0,96,69,75,0,0,26
1671134180.097,77.8,12.0,0.0,89,56,76,0,0,26
1671134210.126,60.9,12.0,0.0,93,66,75,0,0,26
1671134240.154,74.2,12.0,0.0,89,61,75,0,0,26
1671134270.183,78.3,12.0,0.0,89,58,75,0,0,26
1671134300.212,77.2,12.0,0.0,97,70,75,0,0,26
1671134330.241,77.7,12.0,0.0,95,67,73,0,0,26
1671134360.270,78.4,12.0,0.0,88,60,75,0,0,26
1671134390.299,77.7,12.0,0.0,94,66,75,0,0,26
1671134420.328,77.7,12.0,0.0,92,56,75,0,0,26
1671134450.357,77.8,12.0,0.0,93,66,75,0,0,26
1671134480.358,77.6,12.0,0.0,91,59,75,0,0,26
1671134510.387,77.9,12.0,0.0,94,67,75,0,0,26
1671134540.387,77.7,12.0,0.0,92,61,75,0,0,26
1671134570.416,77.7,12.0,0.0,96,68,72,0,0,26
1671134600.445,77.3,12.0,0.0,89,59,75,0,0,26
1671134630.474,78.0,12.0,0.0,92,61,76,0,0,26
1671134660.479,77.7,12.0,0.0,95,67,75,0,0,26
1671134690.507,78.3,12.0,0.0,92,58,75,0,0,26
1671134720.537,77.6,12.0,0.0,97,69,75,0,0,26
