Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671150083.531,77.4,11.7,0.0,0,0,29,0,0,28
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671150306.171,66.3,10.1,0.0,0,0,24,0,0,26
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671150425.729,82.1,11.8,0.0,0,0,31,0,0,28
1671150455.757,75.1,12.4,0.0,100,74,51,0,0,28
1671150485.769,74.3,10.9,0.0,97,77,60,0,0,28
1671150515.798,35.5,9.4,0.0,100,73,65,0,0,28
1671150545.827,29.2,11.4,0.0,100,62,72,0,0,28
1671150575.826,50.8,10.9,0.0,100,60,76,0,0,28
1671150605.837,51.6,12.7,0.0,0,0,67,0,0,28
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671150654.319,72.5,15.1,0.0,0,0,38,0,0,29
Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671150732.097,64.4,15.2,0.0,0,0,33,0,0,29
1671150762.126,63.5,15.9,0.0,100,64,52,0,0,29
1671150792.155,65.0,15.8,0.0,100,62,60,0,0,29
1671150822.184,66.8,15.9,0.0,97,74,67,0,0,29
1671150852.213,66.4,15.9,0.0,100,75,72,0,0,29
1671150882.242,65.6,15.8,0.0,97,78,76,0,0,29
1671150912.271,65.5,15.9,0.0,100,69,76,0,0,29
1671150942.300,66.7,15.8,0.0,97,76,77,0,0,29
1671150972.329,68.4,15.7,0.0,98,74,76,0,0,28
1671151002.358,65.7,15.8,0.0,98,73,76,0,0,28
1671151032.379,66.2,15.8,0.0,98,74,76,0,0,28
1671151062.408,64.5,15.7,0.0,97,75,76,0,0,28
1671151092.445,65.9,15.7,0.0,0,0,71,0,0,28
1671151122.455,66.2,15.8,0.0,99,70,76,0,0,28
1671151152.484,66.0,15.8,0.0,97,74,77,0,0,28
1671151182.513,67.0,15.7,0.0,100,65,76,0,0,28
1671151212.542,65.5,15.8,0.0,97,74,75,0,0,28
1671151242.570,66.7,15.8,0.0,100,66,75,0,0,28
1671151272.598,65.9,15.7,0.0,97,65,73,0,0,28
1671151302.628,66.8,15.8,0.0,100,66,75,0,0,28
1671151332.657,66.5,15.8,0.0,100,63,77,0,0,28
1671151362.686,65.6,15.6,0.0,100,61,76,0,0,28
1671151392.714,64.6,15.7,0.0,100,62,75,0,0,28
1671151422.715,65.7,15.8,0.0,100,64,75,0,0,28
1671151452.735,65.5,15.8,0.0,98,67,74,0,0,28
1671151482.764,65.9,15.7,0.0,100,61,75,0,0,28
1671151512.793,66.0,15.8,0.0,100,62,75,0,0,28
1671151542.822,66.3,15.8,0.0,100,62,75,0,0,28
1671151572.851,65.0,15.7,0.0,100,63,75,0,0,28
1671151602.880,64.6,15.8,0.0,100,63,76,0,0,28
1671151632.907,66.7,15.8,0.0,98,68,74,0,0,28
