Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1671147451.041,5.2,5.5,0.0,0,0,36,0,0,32
1671147481.069,6.2,7.1,0.0,100,45,53,0,0,32
1671147511.098,5.9,7.1,0.0,97,70,59,0,0,32
1671147541.127,5.9,7.1,0.0,97,70,59,0,0,32
1671147571.156,6.1,7.1,0.0,100,46,61,0,0,32
1671147601.158,5.9,7.1,0.0,100,43,62,0,0,32
1671147631.187,6.1,7.1,0.0,100,53,63,0,0,32
1671147661.203,5.9,7.1,0.0,97,72,62,0,0,32
1671147691.232,6.1,7.1,0.0,100,46,62,0,0,32
1671147721.261,6.1,7.1,0.0,99,37,63,0,0,32
1671147751.290,5.9,7.1,0.0,100,53,63,0,0,32
1671147781.319,6.1,7.1,0.0,96,68,63,0,0,32
1671147811.348,5.9,7.1,0.0,100,46,63,0,0,32
1671147841.377,6.1,7.1,0.0,100,43,63,0,0,32
1671147871.406,6.1,7.1,0.0,100,53,63,0,0,32
1671147901.435,5.9,7.1,0.0,100,57,63,0,0,32
1671147931.463,6.1,7.1,0.0,100,46,63,0,0,32
1671147961.492,6.2,8.5,0.0,100,45,56,0,0,32
1671147991.521,6.1,8.5,0.0,100,42,61,0,0,32
1671148021.550,6.1,8.5,0.0,100,53,62,0,0,32
1671148051.562,5.9,8.5,0.0,100,53,61,0,0,32
1671148081.591,6.1,8.5,0.0,100,45,63,0,0,32
1671148111.620,5.9,8.5,0.0,99,40,63,0,0,32
1671148141.643,6.1,8.5,0.0,100,53,63,0,0,32
1671148171.672,6.1,8.5,0.0,100,45,62,0,0,32
1671148201.701,5.9,8.5,0.0,100,46,63,0,0,32
1671148231.720,6.1,8.5,0.0,99,37,63,0,0,32
1671148261.749,6.0,8.5,0.0,97,54,63,0,0,32
1671148291.778,6.0,8.5,0.0,97,69,63,0,0,32
1671148321.807,6.1,8.5,0.0,100,45,63,0,0,32
1671148351.823,5.9,8.5,0.0,99,40,63,0,0,32
1671148381.852,6.1,8.5,0.0,100,53,64,0,0,32
1671148411.869,6.0,8.5,0.0,100,47,62,0,0,32
1671148441.899,6.2,8.5,0.0,0,0,48,0,0,32
1671148471.928,6.1,8.5,0.0,100,41,61,0,0,32
1671148501.957,5.9,8.5,0.0,96,71,62,0,0,32
1671148531.957,6.1,8.5,0.0,100,45,63,0,0,32
1671148561.986,6.0,8.5,0.0,100,46,63,0,0,32
1671148592.015,6.0,8.5,0.0,100,49,63,0,0,32
1671148622.044,6.1,8.5,0.0,96,70,63,0,0,32
1671148652.073,5.9,8.5,0.0,100,45,63,0,0,32
1671148682.091,6.1,8.5,0.0,100,43,63,0,0,32
1671148712.120,6.0,8.5,0.0,100,53,63,0,0,32
1671148742.149,6.0,8.5,0.0,97,61,63,0,0,32
1671148772.178,6.1,8.5,0.0,100,46,62,0,0,32
1671148802.206,5.9,8.5,0.0,100,45,63,0,0,32
